8364224,2023-07-30T15:57:38,1690732658,744047858,23.42,51.34
8364224,2023-07-30T15:58:45,1690732725,744047925,24.46,60.55
8364224,2023-07-30T15:58:54,1690732734,744047934,24.57,56.94
8364224,2023-07-30T15:59:31,1690732771,744047971,26.07,50.31
8364224,2023-07-30T16:04:23,1690733063,744048263,39.18,25.38
8364224,2023-07-30T16:06:39,1690733199,744048399,36.43,28.62
8364224,2023-07-30T16:16:34,1690733794,744048994,46.32,18.65
8364224,2023-07-30T16:17:19,1690733839,744049039,46.03,19.12
8364224,2023-07-30T16:17:26,1690733846,744049046,45.85,18.93
8364224,2023-07-30T16:17:32,1690733852,744049052,45.39,18.73
8364224,2023-07-30T16:17:35,1690733855,744049055,45.05,19.29
8364224,2023-07-30T16:17:36,1690733856,744049056,44.58,18.95
8364224,2023-07-30T16:17:38,1690733858,744049058,44.38,19.52
8364224,2023-07-30T16:17:42,1690733862,744049062,43.91,19.73
8364224,2023-07-30T16:17:45,1690733865,744049065,43.57,19.82
8364224,2023-07-30T16:17:49,1690733869,744049069,42.85,19.65
8364224,2023-07-30T16:17:52,1690733872,744049072,42.39,19.89
8364224,2023-07-30T16:17:54,1690733874,744049074,41.96,20.12
8364224,2023-07-30T16:17:56,1690733876,744049076,41.72,20.42
8364224,2023-07-30T16:17:58,1690733878,744049078,41.42,20.38
8364224,2023-07-30T16:18:00,1690733880,744049080,40.96,20.65
8364224,2023-07-30T16:18:03,1690733883,744049083,40.55,20.96
8364224,2023-07-30T16:18:05,1690733885,744049085,40.34,21.34
8364224,2023-07-30T16:18:08,1690733888,744049088,39.82,21.82
8364224,2023-07-30T16:18:13,1690733893,744049093,38.98,22.30
8364224,2023-07-30T16:18:16,1690733896,744049096,38.40,22.65
8364224,2023-07-30T16:18:19,1690733899,744049099,37.78,23.25
8364224,2023-07-30T16:18:20,1690733900,744049100,37.38,23.45
8364224,2023-07-30T16:18:22,1690733902,744049102,37.14,23.74
8364224,2023-07-30T16:18:25,1690733905,744049105,36.56,24.48
8364224,2023-07-30T16:18:28,1690733908,744049108,36.19,25.10
8364224,2023-07-30T16:18:30,1690733910,744049110,35.74,25.59
8364224,2023-07-30T16:18:33,1690733913,744049113,35.43,25.98
8364224,2023-07-30T16:18:35,1690733915,744049115,35.20,26.25
8364224,2023-07-30T16:18:37,1690733917,744049117,34.97,26.34
8364224,2023-07-30T16:18:39,1690733919,744049119,34.70,26.75
8364224,2023-07-30T16:18:42,1690733922,744049122,34.47,27.12
8364224,2023-07-30T16:18:46,1690733926,744049126,34.03,27.62
8364224,2023-07-30T16:18:48,1690733928,744049128,33.91,27.82
8364224,2023-07-30T16:18:50,1690733930,744049130,33.78,27.99
8364224,2023-07-30T16:18:52,1690733932,744049132,33.64,28.21
8364224,2023-07-30T16:18:57,1690733937,744049137,33.29,28.82
8364224,2023-07-30T16:19:01,1690733941,744049141,33.09,29.52
8364224,2023-07-30T16:19:04,1690733944,744049144,33.00,29.62
8364224,2023-07-30T16:19:06,1690733946,744049146,32.95,29.50
8364224,2023-07-30T16:19:08,1690733948,744049148,32.87,29.60
8364224,2023-07-30T16:19:10,1690733950,744049150,32.83,29.81
8364224,2023-07-30T16:19:12,1690733952,744049152,32.79,29.88
8364224,2023-07-30T16:19:14,1690733954,744049154,32.76,30.10
8364224,2023-07-30T16:19:16,1690733956,744049156,32.73,30.09
8364224,2023-07-30T16:19:19,1690733959,744049159,32.72,30.56
8364224,2023-07-30T16:19:25,1690733965,744049165,32.73,31.01
8364224,2023-07-30T16:19:27,1690733967,744049167,32.77,31.09
8364224,2023-07-30T16:19:30,1690733970,744049170,32.82,30.74
8364224,2023-07-30T16:19:32,1690733972,744049172,32.83,30.53
8364224,2023-07-30T16:19:34,1690733974,744049174,32.88,30.67
8364224,2023-07-30T16:19:37,1690733977,744049177,32.95,31.20
8364224,2023-07-30T16:19:39,1690733979,744049179,32.99,31.29
8364224,2023-07-30T16:19:40,1690733980,744049180,32.95,30.87
8364224,2023-07-30T16:19:42,1690733982,744049182,32.96,30.85
8364224,2023-07-30T16:19:44,1690733984,744049184,32.98,30.65
8364224,2023-07-30T16:19:46,1690733986,744049186,33.02,30.27
8364224,2023-07-30T16:19:47,1690733987,744049187,33.06,30.01
8364224,2023-07-30T16:19:49,1690733989,744049189,33.11,29.86
8364224,2023-07-30T16:19:51,1690733991,744049191,33.14,29.74
8364224,2023-07-30T16:19:53,1690733993,744049193,33.21,29.54
8364224,2023-07-30T16:19:55,1690733995,744049195,33.25,29.57
8364224,2023-07-30T16:19:57,1690733997,744049197,33.31,29.70
8364224,2023-07-30T16:19:59,1690733999,744049199,33.35,29.59
8364224,2023-07-30T16:20:01,1690734001,744049201,33.41,29.59
8364224,2023-07-30T16:20:07,1690734007,744049207,33.59,29.10
8364224,2023-07-30T16:20:17,1690734017,744049217,33.73,28.77
8364224,2023-07-30T16:20:20,1690734020,744049220,33.74,28.68
8364224,2023-07-30T16:20:22,1690734022,744049222,33.71,28.53
8364224,2023-07-30T16:20:25,1690734025,744049225,33.56,28.41
8364224,2023-07-30T16:20:27,1690734027,744049227,33.44,28.53
8364224,2023-07-30T16:20:29,1690734029,744049229,33.29,28.42
8364224,2023-07-30T16:20:30,1690734030,744049230,33.28,28.62
8364224,2023-07-30T16:20:33,1690734033,744049233,33.26,28.57
8364224,2023-07-30T16:20:36,1690734036,744049236,33.17,28.62
8364224,2023-07-30T16:20:38,1690734038,744049238,33.08,28.65
8364224,2023-07-30T16:20:43,1690734043,744049243,33.08,29.60
