8364224,2023-07-17T18:00:10,1689616810,742932010,25.69,54.12
8364224,2023-07-17T18:00:39,1689616839,742932039,25.91,55.58
8364224,2023-07-17T18:00:58,1689616858,742932058,25.93,49.45
8364224,2023-07-17T18:01:02,1689616862,742932062,25.89,49.44
8364224,2023-07-17T18:02:53,1689616973,742932173,30.44,41.96
8364224,2023-07-17T18:02:54,1689616974,742932174,30.50,41.60
8364224,2023-07-17T18:02:56,1689616976,742932176,30.58,41.24
8364224,2023-07-17T18:02:58,1689616978,742932178,30.65,41.40
8364224,2023-07-17T18:06:46,1689617206,742932406,32.26,32.46
8364224,2023-07-17T18:06:52,1689617212,742932412,32.24,33.53
8364224,2023-07-17T18:06:53,1689617213,742932413,32.23,33.62
8364224,2023-07-17T18:06:55,1689617215,742932415,32.23,34.37
8364224,2023-07-17T18:06:59,1689617219,742932419,32.19,34.47
8364224,2023-07-17T18:07:01,1689617221,742932421,32.19,34.06
8364224,2023-07-17T18:07:04,1689617224,742932424,32.16,33.40
8364224,2023-07-17T18:07:06,1689617226,742932426,32.15,32.93
8364224,2023-07-17T18:07:09,1689617229,742932429,32.10,32.76
8364224,2023-07-17T18:07:12,1689617232,742932432,32.08,32.37
8364224,2023-07-17T18:07:15,1689617235,742932435,32.03,32.60
8364224,2023-07-17T18:07:39,1689617259,742932459,31.58,30.14
8364224,2023-07-17T18:07:41,1689617261,742932461,31.50,29.26
8364224,2023-07-17T18:07:43,1689617263,742932463,31.39,28.73
8364224,2023-07-17T18:07:47,1689617267,742932467,31.27,28.47
8364224,2023-07-17T18:07:48,1689617268,742932468,31.22,28.41
8364224,2023-07-17T18:07:50,1689617270,742932470,31.15,28.13
8364224,2023-07-17T18:07:55,1689617275,742932475,30.87,27.83
8364224,2023-07-17T18:07:59,1689617279,742932479,30.67,28.00
8364224,2023-07-17T18:08:02,1689617282,742932482,30.54,28.11
8364224,2023-07-17T18:08:05,1689617285,742932485,30.38,27.91
8364224,2023-07-17T18:08:10,1689617290,742932490,30.11,28.18
8364224,2023-07-17T18:08:14,1689617294,742932494,29.86,28.16
8364224,2023-07-17T18:08:18,1689617298,742932498,29.65,28.63
8364224,2023-07-17T18:08:21,1689617301,742932501,29.46,28.98
8364224,2023-07-17T18:08:32,1689617312,742932512,28.90,29.42
8364224,2023-07-17T18:08:35,1689617315,742932515,28.79,29.75
